[01/100]Total Loss: 47.492636, learning_rate: 0.00033
[02/100]Total Loss: 9.549740, learning_rate: 0.00050
[03/100]Total Loss: 8.763832, learning_rate: 0.00050
[04/100]Total Loss: 5.510786, learning_rate: 0.00050
[05/100]Total Loss: 6.657317, learning_rate: 0.00050
[06/100]Total Loss: 4.795040, learning_rate: 0.00050
[07/100]Total Loss: 4.302926, learning_rate: 0.00050
[08/100]Total Loss: 4.074828, learning_rate: 0.00050
[09/100]Total Loss: 3.941354, learning_rate: 0.00049
[10/100]Total Loss: 3.861610, learning_rate: 0.00049
[11/100]Total Loss: 3.805465, learning_rate: 0.00049
[12/100]Total Loss: 3.767728, learning_rate: 0.00049
[13/100]Total Loss: 3.737028, learning_rate: 0.00049
[14/100]Total Loss: 3.712602, learning_rate: 0.00048
[15/100]Total Loss: 3.691078, learning_rate: 0.00048
[16/100]Total Loss: 3.673990, learning_rate: 0.00048
[17/100]Total Loss: 3.660558, learning_rate: 0.00047
[18/100]Total Loss: 3.644688, learning_rate: 0.00047
[19/100]Total Loss: 3.633177, learning_rate: 0.00047
[20/100]Total Loss: 3.621202, learning_rate: 0.00046
[21/100]Total Loss: 3.610643, learning_rate: 0.00046
[22/100]Total Loss: 3.601166, learning_rate: 0.00045
[23/100]Total Loss: 3.591932, learning_rate: 0.00045
[24/100]Total Loss: 3.584561, learning_rate: 0.00045
[25/100]Total Loss: 3.575745, learning_rate: 0.00044
[26/100]Total Loss: 3.567654, learning_rate: 0.00044
[27/100]Total Loss: 3.558561, learning_rate: 0.00043
[28/100]Total Loss: 3.552349, learning_rate: 0.00043
[29/100]Total Loss: 3.545671, learning_rate: 0.00042
[30/100]Total Loss: 3.539874, learning_rate: 0.00041
[31/100]Total Loss: 3.533392, learning_rate: 0.00041
[32/100]Total Loss: 3.526585, learning_rate: 0.00040
[33/100]Total Loss: 3.521619, learning_rate: 0.00040
[34/100]Total Loss: 3.516210, learning_rate: 0.00039
[35/100]Total Loss: 3.511131, learning_rate: 0.00038
[36/100]Total Loss: 3.509659, learning_rate: 0.00038
[37/100]Total Loss: 3.501165, learning_rate: 0.00037
[38/100]Total Loss: 3.497190, learning_rate: 0.00036
[39/100]Total Loss: 3.492679, learning_rate: 0.00036
[40/100]Total Loss: 3.488532, learning_rate: 0.00035
